1156		52
2227		1056
1973		52
1973		844
1973		1235
1973		2379
1973		26
1973		2108
2486		321
214		52
214		2819
214		1477
214		1805
214		207
214		1763
214		2105
214		2127
1096		1156
1096		777
1096		790
1096		337
1096		2820
1096		94
1096		1466
1096		903
1096		1217
1096		2517
1096		2707
1096		147
1096		461
1096		1472
1096		375
1096		2291
1096		180
1096		1265
1096		2238
1096		605
1096		1418
1096		2047
1096		1077
1381		2764
1381		981
1381		1379
1381		2608
1381		1080
1381		2707
1381		141
1381		1338
1381		2054
1381		2097
1381		215
1381		1689
1381		35
2374		381
2374		304
2374		1547
2374		1313
2374		803
2374		982
221		456
221		229
777		2819
777		662
777		1354
777		2495
777		2642
603		52
603		1773
603		1945
1293		1419
1293		2316
1293		1280
1726		2447
1726		1335
1726		666
1726		1271
1726		924
1726		2054
52		603
52		235
52		2764
52		532
52		2449
52		783
52		506
52		117
52		204
52		2675
52		1906
52		853
52		2799
52		1392
52		2746
52		2098
52		2203
52		1763
52		2822
52		7
52		2572
556		930
556		381
1273		492
1273		2086
1273		730
1273		2098
1273		1868
1273		39
1273		496
1273		2631
1273		2492
1273		2479
1273		2740
1273		1199
1326		1250
2755		1685
2755		1877
2755		2477
756		2836
756		314
756		1915
756		49
848		1113
848		2450
848		2734
848		914
848		2653
848		384
848		1946
848		2823
848		1853
848		2104
197		1564
197		2451
197		568
197		1536
197		1763
197		2190
2447		1726
2447		1685
2447		2764
2447		2449
2447		1247
2447		2905
2447		2110
2447		2100
2447		2766
2447		1568
2447		1383
2447		866
2447		922
2447		1622
2447		785
2447		600
2447		2719
2447		1212
2447		1025
1337		2335
1337		1731
1337		1426
1337		321
1337		2597
1337		701
1337		2217
1337		1655
1337		954
1337		742
1420		157
1420		1234
1420		20
2559		777
2559		119
2559		1505
2559		818
2559		981
2559		899
2559		1989
2559		2419
2559		171
2559		2606
2559		2877
2559		1711
2559		2194
2559		2773
2559		53
2559		360
2559		1075
2559		1732
2559		1112
2559		2395
2559		2609
2559		2331
2559		2189
2559		2361
2559		1579
2559		2641
2559		1642
2559		2064
2559		2051
2559		2468
2559		1298
2559		2527
2559		2639
2559		1443
2559		180
2559		836
2559		2348
2559		2238
2559		149
2559		1696
2559		1201
2559		364
2559		2519
2559		2393
2559		1957
2559		1296
2559		1875
2559		688
2559		2565
2559		322
2559		1673
2559		2721
2559		72
2559		2088
2559		2810
2559		1687
957		822
957		2819
957		1099
957		2820
957		2840
957		1237
957		2876
957		2149
957		1479
957		1550
957		2928
957		274
957		2022
957		666
957		145
957		1818
957		303
957		537
957		2224
957		2243
957		189
957		2082
957		1746
957		918
957		2609
957		1734
957		2286
957		2896
957		1579
957		1556
957		485
957		2531
957		2051
957		181
957		2516
957		2597
957		1131
957		1268
957		1647
957		1443
957		2098
957		1868
957		364
957		963
957		1494
957		2595
957		619
957		2492
957		2455
957		954
957		2740
957		1324
822		957
822		699
822		946
2703		1851
2819		145
2819		633
2819		2369
2819		787
2819		39
2819		2584
2819		2631
2819		2717
2819		470
2819		1199
2819		1495
2789		798
2789		2785
2789		1310
883		2442
883		2133
883		1490
883		1734
883		364
59		644
1685		2447
790		1468
790		80
790		1056
790		30
790		1737
657		206
657		1234
657		980
2916		1259
2916		644
2916		61
1954		221
1954		573
1954		2034
1954		235
1954		2857
1954		2585
1954		2093
1954		2634
1954		1186
1954		492
1954		2079
1954		813
1954		1034
1954		2058
1954		1926
1954		1161
1954		1466
1954		1079
1954		2888
1954		897
1954		1575
1954		1387
1954		1994
1954		46
1954		2254
1954		2030
1954		2136
1954		1711
1954		2809
1954		640
1954		2511
1954		733
1954		2507
1954		682
1954		2038
1954		1082
1954		631
1954		1951
1954		1698
1954		1323
1954		1483
1954		890
1954		95
1954		1014
1954		2162
1954		1545
1954		838
1954		958
1954		1053
1954		2248
1954		2437
1954		528
1954		1860
1954		1093
1954		1787
1954		2092
1954		461
1954		1949
1954		1915
1954		593
1954		1464
1954		12
1954		840
1954		99
1954		633
1954		975
1954		1272
1954		2351
1954		146
1954		2213
1954		2917
1954		2701
1954		1884
1954		2804
1954		440
1954		681
1954		1286
1954		1140
1954		2837
1954		2496
1954		1380
1954		917
1954		202
1954		2586
1954		2921
1954		762
1954		2929
1954		357
1954		1768
1954		1830
1954		2484
1954		1970
1954		1682
1954		1615
1954		964
1954		1717
1954		1581
1954		2426
1954		2427
1954		273
1954		2258
1954		71
1954		1406
1954		754
1954		1201
1954		773
1954		1275
1954		1929
1954		2519
1954		2841
1954		2692
1954		2040
1954		1900
1954		1334
1954		2068
1954		2296
1954		2386
1954		1632
1954		2332
1954		2533
1954		1806
1954		79
1954		2142
1954		1814
1954		778
1954		225
1954		275
1954		2050
1954		2660
1954		134
1954		935
1954		617
1954		1295
1954		1663
1954		298
1954		602
1954		1715
1954		2134
1954		2590
1954		916
1954		727
1954		465
1954		2078
1954		2661
1954		1953
1954		1220
1954		2481
1954		1402
1954		2824
1954		2646
1954		313
1954		2239
1954		705
1954		902
1954		2060
1954		2204
1954		577
1954		455
1954		2687
1954		2385
1954		884
1954		912
1954		2256
1954		195
1954		1601
1954		2803
1954		353
1954		1138
1954		2546
1954		623
1954		2328
1954		688
1954		707
1954		2768
1954		2295
1954		2045
1954		664
1954		2158
1954		834
1954		2394
1270		1415
1270		2838
1270		2585
1270		1235
1270		1217
1270		1259
1270		1080
1270		2516
1270		2039
1270		1763
1270		2190
1270		990
1270		30
1270		151
1270		2262
1270		1582
573		2079
573		1521
573		1053
573		536
573		1513
573		47
573		153
573		256
573		1491
573		521
573		1898
573		551
573		2587
573		93
1902		250
1902		2561
1902		1763
1902		668
1902		2190
1902		328
1481		1724
1481		2338
1481		841
1481		767
1481		2468
1481		2565
1481		2341
1481		755
1477		214
1477		2585
1477		1937
1477		1338
1846		1387
930		2449
930		819
2617		1051
2617		981
2617		2449
2617		844
2617		2173
235		52
235		2079
235		813
235		1521
235		1844
235		1994
235		2507
235		309
235		1805
235		2092
235		593
235		99
235		1233
235		2692
235		2590
235		2684
235		1807
235		470
235		2759
1051		1270
1051		2617
1051		2585
1051		2449
1051		2173
1051		2517
1051		2934
1051		1805
1051		2556
1051		2376
1051		2690
1051		2190
1051		2649
1051		1832
3		2774
2073		2072
2073		1262
2073		207
2073		114
2073		2225
1686		857
1686		981
1415		1270
1415		972
2335		1337
2335		2585
2335		1775
2335		2381
2335		142
2335		2124
2335		2580
2335		136
2335		2029
2335		1426
2335		2468
2335		163
2335		2405
2335		2217
2335		1627
2335		1946
2335		1655
2335		1598
1870		644
1005		157
1005		946
1005		829
1005		2051
1005		1563
2750		206
2750		188
2749		374
2749		450
2749		261
2749		850
2749		1738
2749		2150
517		2451
517		2834
517		1043
517		395
517		1007
653		1805
653		501
653		1907
653		1828
381		2374
381		556
381		1161
381		927
381		1338
381		2117
